subject,bone,run,n,err_win,yaw,motion
5,footR,48279,101,0.4194550977072838,-1.4518952250629602,hand_clapping
5,footR,48384,36,0.450668231099941,-7.5453754430280355,dancing_rm
5,hip,48739,69,-3.1345056192093805,1.190006593632136,taking_photo
5,hip,49117,51,-4.767508935803885,0.5178458678293243,scratching_head
5,hip,49141,67,-2.5711526779121003,1.6858365510313174,crossarms
5,hip,49486,53,1.6350022240678506,-6.510867804255865,cross_legged_sitting
5,hip,49548,52,0.14796617609072957,1.7119622762698685,pointing
5,hip,49799,81,-3.2579178050931774,-3.921309048111385,phone_talking
5,hip,49884,63,1.53126146334648,-1.4967535339139333,hand_clapping
5,shinR,52366,30,-1.1322875059217352,-7.359592136144389,dancing_rm
